,main_categ,sub_categ,price,unit_price,product_name,extra_info
0,frukt-og-gront,frukt,"kr 5,80","kr 26,36 per kg",Bananer,"Colombia/ Guatemala, 1 stk"
1,frukt-og-gront,frukt,"kr 28,70","kr 32,99 per kg",Økologiske Bananer,"Max Havelaar, Ecuador, 4 stk"
2,frukt-og-gront,frukt,"kr 32,70","kr 65,40 per kg",Rød/Gule Plommer October Sun,"I kurv, Sør Afrika, 500 g"
3,frukt-og-gront,frukt,"kr 31,60","kr 39,50 per kg",Store Appelsiner,"Spania, 3 stk"
4,frukt-og-gront,frukt,"kr 47,80","kr 47,80 per kg",Økologiske Appelsiner,"Spania, 1 kg"
5,frukt-og-gront,frukt,"kr 49,30","kr 54,78 per kg",Ekstra Saftige Klementiner,"Med Blader, Spania, 900 g"
6,frukt-og-gront,frukt,"kr 41,90","kr 83,80 per kg",Økologiske Klementiner,"Spania, 500 g"
7,frukt-og-gront,frukt,"kr 49,90","kr 49,90 per kg",Store Klementiner,"Spania, 1 kg"
8,frukt-og-gront,frukt,"kr 149,90","kr 29,98 per kg",Klementiner i Eske,"Spania, 5 kg"
9,frukt-og-gront,frukt,"kr 173,50","kr 43,38 per kg",Fruktkurv,"Miks av frukt, 4 kg"
10,frukt-og-gront,frukt,"kr 305,00","kr 67,78 per kg",Luksus Fruktkurv,"Miks av frukt, 4,5 kg"
11,frukt-og-gront,frukt,"kr 37,80","kr 90,00 per kg",Mango Stor,"Spisemoden, Brasil/Peru, 1 stk"
12,frukt-og-gront,frukt,"kr 42,80","kr 50,95 per kg",Mango,"Spisemoden, Brasil/Peru, 2 stk"
13,frukt-og-gront,frukt,"kr 47,40","kr 94,80 per kg","Økologiske Pærer, Conference","3-4 stk Frankrike, 500 g"
14,frukt-og-gront,frukt,"kr 27,30","kr 45,50 per kg","Store Pærer, Conference","Belgia, 4 pk, 4 stk"
15,frukt-og-gront,frukt,"kr 29,90","kr 59,80 per kg",Røde Pærer  Fred,"Italia, 4 stk"
16,frukt-og-gront,frukt,"kr 36,90","kr 49,20 per kg",Røde Juleepler Red Delicious,"Italia, 4 stk"
17,frukt-og-gront,frukt,"kr 58,70","kr 69,06 per kg",Pink Lady Epler,"Italia, 6 stk"
18,frukt-og-gront,frukt,"kr 40,00","kr 53,33 per kg","Epler, røde, 4 pk","Royal Gala Italia, ca. 750 g"
19,frukt-og-gront,frukt,"kr 36,00","kr 72,00 per kg",Røde Epler Gala 2-3 stk,"Økologisk, Italia, 500 g"
20,frukt-og-gront,frukt,"kr 41,40","kr 43,58 per kg","Epler, Røde, 6 pk","Royal Gala/ Italia, 950 g"
21,frukt-og-gront,frukt,"kr 32,20","kr 42,93 per kg","Epler gule, 4 pk","Golden Delicious, Italia, 750 g"
22,frukt-og-gront,frukt,"kr 31,50","kr 33,16 per kg","Epler, gule, 6 pk","Golden Delicious, Italia, 950 g"
23,frukt-og-gront,frukt,"kr 32,10","kr 42,80 per kg","Epler, grønne, 4 pk","Granny Smith, Italia, 750 g"
24,frukt-og-gront,frukt,"kr 33,20","kr 34,95 per kg","Epler, Grønne, 6 pk","Granny Smith, Italia, 950 g"
25,frukt-og-gront,frukt,"kr 23,20","kr 185,60 per kg",Blåbær i kurv,"Peru, 125 g"
26,frukt-og-gront,frukt,"kr 50,00","kr 222,22 per kg",Blåbær,"Beger m/lokk, Peru, 225 g"
27,frukt-og-gront,frukt,"kr 36,70","kr 293,60 per kg",Bringebær,"Spania, 125 g"
28,frukt-og-gront,frukt,"kr 31,40","kr 125,60 per kg",Jordbær,"Belgia/ Nederland, Elsanta, 250 g"
29,frukt-og-gront,frukt,"kr 49,90","kr 55,44 per kg",Store Saftige Røde Druer,"Red Globe, Peru, 900 g"
30,frukt-og-gront,frukt,"kr 37,80","kr 75,60 per kg",Druer Grønne Stenfrie,"Kurv, Egypt, 500 g"
31,frukt-og-gront,frukt,"kr 38,90","kr 77,80 per kg",Druer Røde Stenfrie,"Kurv, Brasil, 500 g"
32,frukt-og-gront,frukt,"kr 28,10","kr 100,36 per kg",Store Lime,"Brasil/Mexico, 3 stk"
33,frukt-og-gront,frukt,"kr 49,10","kr 169,31 per kg",Økologisk Lime 2/3 stk,"Brasil, 250 g"
34,frukt-og-gront,frukt,"kr 23,60","kr 67,43 per kg",Kiwi,"Hellas, 4 stk"
35,frukt-og-gront,frukt,"kr 43,50","kr 87,00 per kg","Økologisk Kiwi,  4-5 stk","Italia, ca. 500 g"
36,frukt-og-gront,frukt,"kr 44,90","kr 132,06 per kg",Gul Kiwi,"New Zealand, 4 stk"
37,frukt-og-gront,frukt,"kr 18,60","kr 62,00 per kg",Grapefrukt,"Sør Afrika, 1 stk"
38,frukt-og-gront,frukt,"kr 35,80","kr 358,00 per kg",Kumquat,"Spania, 100 g"
39,frukt-og-gront,frukt,"kr 16,00","kr 42,11 per kg",Sitroner 2/3 stk,"Spania/ Sørafrika/ Uruguay, 400 g"
40,frukt-og-gront,frukt,"kr 35,80","kr 162,73 per kg",Økologiske Sitroner,"Spania, 2 stk"
41,frukt-og-gront,frukt,"kr 76,40","kr 195,90 per kg",Papaya Spisemoden,"Brasil, 1 stk"
42,frukt-og-gront,frukt,"kr 78,10","kr 26,03 per kg",Vannmelon,"Spania, 3 kg"
43,frukt-og-gront,frukt,"kr 41,90","kr 27,93 per kg",Honningmelon,"Spania, 1 stk"
44,frukt-og-gront,frukt,"kr 42,10","kr 46,78 per kg",Melon Cantaloupe,"Spania, 1 stk"
